Data pomiaru,Data kursu,Godzina,Cena (PLN),Wolne miejsca
2026-09-02 05:35:51,02.09.2026,10:10,120.65,25
2026-09-02 05:35:51,02.09.2026,23:50,120.65,25
2026-09-02 07:16:09,02.09.2026,10:10,120.65,46
2026-09-02 07:16:09,02.09.2026,23:50,120.65,43
2026-09-02 11:59:44,02.09.2026,23:50,120.65,39
2026-09-02 12:42:09,02.09.2026,23:50,120.65,37
2026-09-02 13:30:44,02.09.2026,23:50,120.65,37
2026-09-02 14:11:15,02.09.2026,23:50,120.65,37
2026-09-02 15:11:22,02.09.2026,23:50,120.65,35
2026-09-02 16:51:35,02.09.2026,23:50,120.65,35
2026-09-02 18:01:21,02.09.2026,23:50,120.65,30
2026-09-02 18:53:57,02.09.2026,23:50,120.65,24
2026-09-02 20:57:36,02.09.2026,23:50,120.65,11
