Data pomiaru,Kierunek,Data kursu,Godzina,Wąskie gardło (odcinek),Wolne miejsca (min),Balice -> Katowice,Balice -> Krakow,Gliwice -> Katowice,Gliwice -> Wroclaw,Katowice -> Balice,Katowice -> Gliwice,Krakow -> Balice,Krakow -> Rzeszow,Niebylec -> Rzeszow,Niebylec -> Sanok,Rzeszow -> Krakow,Rzeszow -> Niebylec,Sanok -> Niebylec,Wroclaw -> Gliwice
2026-09-13 06:47:39,Sanok ➔ Wrocław,13.09.2026,10:10,Niebylec -> Rzeszow,19,70,,,70,,70,70,,19,,50,,22,
2026-09-13 06:47:39,Sanok ➔ Wrocław,13.09.2026,16:20,Sanok -> Niebylec,25,50,,,50,,50,50,,25,,35,,25,
2026-09-13 06:47:39,Sanok ➔ Wrocław,13.09.2026,23:50,Niebylec -> Rzeszow,0,0,,,0,,0,0,,0,,0,,46,
2026-09-13 06:47:39,Wrocław ➔ Sanok,13.09.2026,12:00,Krakow -> Rzeszow,35,,47,50,,48,,,35,,39,,39,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,13.09.2026,15:35,Wroclaw -> Gliwice,50,,50,50,,50,,,50,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,13.09.2026,22:25,Gliwice -> Katowice,0,,0,0,,0,,,0,,0,,0,,70
2026-09-13 06:47:39,Sanok ➔ Wrocław,14.09.2026,03:00,Rzeszow -> Krakow,45,50,,,50,,50,49,,47,,45,,49,
2026-09-13 06:47:39,Sanok ➔ Wrocław,14.09.2026,06:35,Rzeszow -> Krakow,39,50,,,50,,50,50,,50,,39,,50,
2026-09-13 06:47:39,Sanok ➔ Wrocław,14.09.2026,10:10,Rzeszow -> Krakow,41,50,,,50,,50,46,,50,,41,,50,
2026-09-13 06:47:39,Sanok ➔ Wrocław,14.09.2026,23:50,Rzeszow -> Krakow,35,70,,,70,,70,43,,44,,35,,47,
2026-09-13 06:47:39,Wrocław ➔ Sanok,14.09.2026,03:40,Niebylec -> Sanok,0,,50,50,,50,,,50,,0,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,14.09.2026,07:45,Rzeszow -> Niebylec,50,,70,70,,70,,,70,,50,,50,,70
2026-09-13 06:47:39,Wrocław ➔ Sanok,14.09.2026,12:00,Krakow -> Rzeszow,47,,50,50,,50,,,47,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,14.09.2026,15:35,Wroclaw -> Gliwice,50,,50,50,,50,,,50,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,14.09.2026,22:25,Niebylec -> Sanok,0,,70,70,,70,,,70,,0,,49,,50
2026-09-13 06:47:39,Sanok ➔ Wrocław,15.09.2026,03:00,Sanok -> Niebylec,50,50,,,50,,50,50,,50,,50,,50,
2026-09-13 06:47:39,Sanok ➔ Wrocław,15.09.2026,06:35,Rzeszow -> Krakow,44,50,,,50,,50,50,,47,,44,,47,
2026-09-13 06:47:39,Sanok ➔ Wrocław,15.09.2026,10:10,Sanok -> Niebylec,41,70,,,70,,70,50,,41,,50,,41,
2026-09-13 06:47:39,Sanok ➔ Wrocław,15.09.2026,23:50,Rzeszow -> Krakow,44,50,,,50,,50,46,,46,,44,,50,
2026-09-13 06:47:39,Wrocław ➔ Sanok,15.09.2026,07:45,Rzeszow -> Niebylec,49,,50,50,,50,,,50,,49,,49,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,15.09.2026,12:00,Krakow -> Rzeszow,47,,50,50,,50,,,47,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,15.09.2026,15:35,Wroclaw -> Gliwice,50,,50,50,,50,,,50,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,15.09.2026,22:25,Niebylec -> Sanok,0,,44,50,,50,,,40,,0,,49,,70
2026-09-13 06:47:39,Sanok ➔ Wrocław,16.09.2026,03:00,Rzeszow -> Krakow,46,50,,,50,,50,47,,50,,46,,50,
2026-09-13 06:47:39,Sanok ➔ Wrocław,16.09.2026,06:35,Sanok -> Niebylec,50,50,,,50,,50,50,,50,,50,,50,
2026-09-13 06:47:39,Sanok ➔ Wrocław,16.09.2026,10:10,Sanok -> Niebylec,30,50,,,70,,70,50,,30,,45,,30,
2026-09-13 06:47:39,Sanok ➔ Wrocław,16.09.2026,23:50,Sanok -> Niebylec,50,70,,,70,,70,50,,50,,50,,50,
2026-09-13 06:47:39,Wrocław ➔ Sanok,16.09.2026,07:45,Rzeszow -> Niebylec,48,,70,70,,70,,,70,,48,,48,,70
2026-09-13 06:47:39,Wrocław ➔ Sanok,16.09.2026,12:00,Wroclaw -> Gliwice,50,,50,50,,50,,,50,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,16.09.2026,15:35,Wroclaw -> Gliwice,50,,50,50,,50,,,50,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,16.09.2026,22:25,Niebylec -> Sanok,0,,44,70,,49,,,36,,0,,37,,70
2026-09-13 06:47:39,Sanok ➔ Wrocław,17.09.2026,03:00,Sanok -> Niebylec,50,50,,,50,,50,50,,50,,50,,50,
2026-09-13 06:47:39,Sanok ➔ Wrocław,17.09.2026,06:35,Sanok -> Niebylec,50,50,,,50,,50,50,,50,,50,,50,
2026-09-13 06:47:39,Sanok ➔ Wrocław,17.09.2026,10:10,Sanok -> Niebylec,50,70,,,70,,70,70,,50,,70,,50,
2026-09-13 06:47:39,Sanok ➔ Wrocław,17.09.2026,23:50,Sanok -> Niebylec,50,70,,,70,,70,50,,50,,50,,50,
2026-09-13 06:47:39,Wrocław ➔ Sanok,17.09.2026,07:45,Rzeszow -> Niebylec,50,,70,70,,70,,,70,,50,,50,,70
2026-09-13 06:47:39,Wrocław ➔ Sanok,17.09.2026,12:00,Wroclaw -> Gliwice,50,,50,50,,50,,,50,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,17.09.2026,15:35,Wroclaw -> Gliwice,50,,50,50,,50,,,50,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,17.09.2026,22:25,Niebylec -> Sanok,0,,70,70,,70,,,70,,0,,50,,70
2026-09-13 06:47:39,Sanok ➔ Wrocław,18.09.2026,03:00,Sanok -> Niebylec,50,50,,,50,,50,50,,50,,50,,50,
2026-09-13 06:47:39,Sanok ➔ Wrocław,18.09.2026,06:35,Sanok -> Niebylec,50,50,,,50,,50,50,,50,,50,,50,
2026-09-13 06:47:39,Sanok ➔ Wrocław,18.09.2026,10:10,Sanok -> Niebylec,50,70,,,70,,70,70,,50,,70,,50,
2026-09-13 06:47:39,Sanok ➔ Wrocław,18.09.2026,23:50,Sanok -> Niebylec,46,50,,,50,,50,50,,50,,50,,46,
2026-09-13 06:47:39,Wrocław ➔ Sanok,18.09.2026,07:45,Wroclaw -> Gliwice,50,,50,50,,50,,,50,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,18.09.2026,12:00,Wroclaw -> Gliwice,50,,50,50,,50,,,50,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,18.09.2026,15:35,Wroclaw -> Gliwice,50,,50,50,,50,,,50,,50,,50,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,18.09.2026,22:25,Niebylec -> Sanok,0,,70,70,,70,,,70,,0,,50,,70
2026-09-13 06:47:39,Sanok ➔ Wrocław,19.09.2026,03:00,Krakow -> Balice,43,46,,,47,,47,43,,45,,44,,47,
2026-09-13 06:47:39,Sanok ➔ Wrocław,19.09.2026,06:35,Sanok -> Niebylec,0,47,,,50,,49,47,,0,,46,,0,
2026-09-13 06:47:39,Sanok ➔ Wrocław,19.09.2026,10:10,Rzeszow -> Krakow,42,47,,,50,,50,46,,49,,42,,49,
2026-09-13 06:47:39,Sanok ➔ Wrocław,19.09.2026,23:50,Rzeszow -> Krakow,35,46,,,47,,46,36,,44,,35,,48,
2026-09-13 06:47:39,Wrocław ➔ Sanok,19.09.2026,07:45,Krakow -> Rzeszow,45,,48,49,,49,,,45,,46,,46,,49
2026-09-13 06:47:39,Wrocław ➔ Sanok,19.09.2026,12:00,Balice -> Krakow,45,,45,48,,48,,,45,,48,,47,,47
2026-09-13 06:47:39,Wrocław ➔ Sanok,19.09.2026,15:35,Krakow -> Rzeszow,46,,47,50,,50,,,46,,49,,49,,50
2026-09-13 06:47:39,Wrocław ➔ Sanok,19.09.2026,22:25,Niebylec -> Sanok,0,,70,70,,70,,,70,,0,,50,,50
